la	lassin,lat-sa,lei
lamaid	laim 
loga	logai
láech	laech,láechu
lám	laim,láimh,lámh,lámha
lán	lána
láthar	lathair
léine	léni 
lénae	léni
lóegaire	lægairi
mac	mauc,mhac
mac(c)rad	macraid,macraide,macraidhe,macraidi
maccoím	macaoimh,maccoem,mhacaoimh
mag	maug,moige,moigi
maigen	magin
maith	maithi
marbaid	marbais,marbtais,mhuir
miliuc	mílchoin
milliud	milti
min	mhion
mochen	mo-chen
muc(c)	mucce
muc(c)aid	muccaib
muinremur	munremair,munremar,munremur
muinter	munter
muir	mhuir 
mullach	mulluch
máta	mátae
mé	s-se
méitithir	métithir
míl	milid
mór	mhóir,mhór
o	uo
oc	ocundбogo
ocaib	ócaib 
ocus	iss
oenach	óenach
oenar	oenur
oenarán	óenurán
oillbine	ollbine
olchena	olcena
popa	poba
proind	prainn
pupall	pupaill,pupull
raib	raibe,raibi 
reimithir	remithir
rigid	rigthi 
rigthe	rigthi
ris	riss
ro	corro,rob,ron
ro-cluinethar	cuala
ro-finnadar	fetur,rofetarsa
ro-finnadar	fios
ro-icc	rancatar,ranic,rici,ráncatár,rísad
ro-saig	roacht
rop	ropa,ropu
ross	rossa
ruad	ruaidh,rúaid
rudrach	rudraige
ruib	raibe,raibi
ruib	raibhe
ruirech	rurech
ráidid	ráter
ré	rempaibh,rempi,rempo,rigaib
rí	rígi
ríangabair	riangabra
ríg	rígi 
rígan	rigan,ríana
rúad	rúada
saer	sáer
saidid	suidhe
sair	soir
samaisc	samaisci
san	soin 
sceo	sceó
scáthach	scathqi
scél	scel,sceóil,sgéala
scíath	sciath,scíathu,sgíath
sech	seach
sencha	senchai
serc	seirc
sesrach	sesrech
si	sai
side	sidie,síde
sin	anísin,atú-sa,issan,issind
sin	soin 
slabrad	slabraid
sleg	slega,slegh,slegi
sligid	sliged,sligi
slondud	slonnad
slíasait	slíastaib
slóg	sluaig,slóig,slúagu,slúaig
snechta	sneachta
so	sai
suide	sudiu,suidhe
sét	séta
sín	soin
súas	suas
tar	tairsed,tarisi,tarsan
tech	tiche,tichi,tighi	
techt	techtaib,techtai
techta	techtai
teglach	tegluch
tellach	telaig
tiachtain tíachtain
ticfa 
ticfad
timarnad timmarnad
tochim	toichim
tochmarc tocmarc
tonach	toing
tongaid	toinges,tong
tonn	toind
torannchless	torandchless
tostadach	tastadach
tre	tríana,tríb
trelam	trelom
trá	trath
tráth	trath 
trí	tríb,teorai,téora
trían	tríun
trícha	tríchait
trúag	truagh
tuc	tucc
tuidecht	taidecht
tégad	téged
téit	do-llotar,dollotár,ragat-sa,lvid,téged,téiti,téti
téite	téiti,téti
tét	téta
tú	sibh
túaiscert	túascirt
túarascbáil	tuarascbáil
túath	tuath,túathi
uair	uairi
ucut	uccut
uisce	usci,usciu
umae	umai
umaide	umaidi
un(n)sa	unsea
uragad	oragad
álaind	alaind
án	áni
áth	áthu
é	isside
éicen	écin
éirge	érgi
éirgid	érgi
éis	ési
én	éuin,éoin
ériu	erenn,erinn
étan	étar
í	anti
í, oí, aí	aíi
íar	iarsan,iarsind,iarsoin,iersin,íarsin
íarnaide	íarnaidi
íarum	iarom,iarum,ierom,ierum
ó	úaidib
óc	ócaib
óclach	oclæch,ócláech
óen	aróen
úa	uo
úaso	úas
