Donncha	Donncha,Dondchaid,Dondcha
Dóel	Dóel,Doel,Dóeltengaid,Deoltenga,Dóeltenga
Dubthach	Dubthach,Dubthaig,Dubthuch,Dubthach
Niedfir	Niedfir
Duollud	Duollud,Duollaid
Dócha	Dócha,Dóchae,Dóchá
Fedlig	Fedlig
Echach	Echach
Echdach	Echdach
Faebur	Faebur,Faeburglais
Echach	Echach
Echbél	Echbél
Echde	Echde
Durthacht	Durthacht
Foltchaín	Foltchaín
Eimer	Emer,Eimeur,Eimer,Eimere,Emir,Eimhir,Emer,Emiri,Emiur
Erc mac Cairpri	Erc mac Cairpri
Eirrgi Echbél	Eirrgi Echbél
Inguba	Inguba,Ingubai
Etan	Etan,Eithne,Etain,Etaine,Eatan,Étan,Ethne,Ethne,Étan
Elcmuire	Elcmuire,Eulcmaire
Emine	Emine
Íuil	Íuil
Eochaid	Eochaid,Euchaid
Éogan	Eogan,Eogain,Eogan Eo,Eógain,Éogain,Éogan
Enchenn	Enchenn,Enchinne
Ess	Ess,Esse
Etar	Etar,Etair
Etarcomal	Etarcomal,Etarcomail,Etarcomol
Anbuail	Anbuail
Ethail	Ethail
Ferdiad	Ferdiad
Findabair	Findabair,Findabrach,Findubair,Finnabair
Fráech	Fráech,Fraích,Fróech,Fróech,Fraech,Froech,Froech,Fraich,Fraích,Froich,Fraích,Fruich
Dall	Dall,Daill
Cilair	Cilair
Cétaig	Cétaig
Fedlimid	Feidlimid,Fheidhlimi
Leti	Leti
Fergus	Fergus,Fercus,Fercussa,Fergais,Fergos,Fergusa
Findchóem	Finnchóem,Findchóem
Folloman	Fallamain,Folloman,Follamain,Follomain,Follomon
Ferbend	Ferbend
Dubthachúad	Dubthachúad
Febhe	Febhe
Fialdama	Fialdama,Fíaldána
Dimraith	Dimraith
Fíacha	Fiacha,Fiachaig,Fiachu,Fíacha
Fulech	Fulech
Fíachna	Fiachna,Fachtnai,Fachtnai,Fiachrach,Fiachraig,Fíachna
Flidais	Flidais,Flidis,Ḟlidais
Fand	Fand,Faind,Fainde,Fainne,Fhaind,Fhainde
Noíchrothach	Noíchrothach,Noicridii,Noichruthach
Noíchride	Noíchride,aeNoíchride,Noíchride,
Foltchoin	Foltchoin
Findcoemh	Findcoemh
Fedelm	Fedelm,Fedilm,Fedlim,Feidelm,Feidilmmsi
Fruích	Friuch,Fruích,Fruích
Baíscne	Baíscne
Fatheman	Fatheman,Faithemain
Báeth	Báeth,Baíth
Loga	Loga
Dea	Dea
